,names,scores,logfoldchanges,pvals,pvals_adj
267,AP000331.1,23.5248,4.212053,7.258617281760963e-107,3.824417419903737e-105
268,LMCD1,23.48399,3.0516562,3.043121532013896e-107,1.6152648052600493e-105
269,SPON2,23.469835,1.9326113,1.0939014073210282e-108,5.92364186328084e-107
270,DLG1,23.445412,1.430428,2.797916486800438e-110,1.5344890317889664e-108
271,NF1,23.44306,1.1554679,8.276486285715475e-112,4.597952640178307e-110
272,COL8A1,23.428104,1.6484413,7.113167956419852e-109,3.8616398394295524e-107
273,SIPA1L3,23.421156,2.0262668,3.262177603349455e-108,1.7532365044166847e-106
274,KRT8,23.38192,4.2585845,1.010145445562568e-105,5.2576599355931326e-104
275,PKDCC,23.349607,3.8166437,1.1649008655986805e-105,6.048458634842156e-104
276,ARHGEF17,23.297676,2.850332,4.355553519430173e-106,2.283630554294881e-104
277,TMEM45A,23.236288,2.7510982,9.94954421046697e-106,5.1911928479137156e-104
278,PTMA,23.221212,2.1589046,3.812217603280424e-106,2.0036567226653284e-104
279,SAT1,23.199715,1.6355104,2.731797006987967e-107,1.457230224324626e-105
280,FBLIM1,23.175175,3.6628833,1.844060902564452e-104,9.348473284773547e-103
281,BNIP3L,23.169498,2.3163009,1.266304708336834e-105,6.559091344341805e-104
282,VCL,23.166142,1.5733749,2.778803196634318e-107,1.4786266935143006e-105
283,KIFC3,23.154234,3.3992684,2.0059524984638125e-104,1.0145199381381604e-102
284,RNF144A,23.069,2.9836435,5.4951803971688844e-104,2.7596873170231744e-102
285,MIRLET7BHG,23.058592,1.7962236,6.592354164436463e-106,3.447962017126232e-104
286,TAPBP,23.052534,2.275707,6.878877475703755e-105,3.5289628849040984e-103
287,SGIP1,23.02745,2.2108665,1.6862658629134838e-104,8.589141369196378e-103
288,CALR,22.959976,3.1126785,5.467564122603801e-103,2.7077700934206907e-101
289,ATF7IP,22.870623,1.5789044,6.7559480662144216e-105,3.4742098400935746e-103
290,NOTCH3,22.86583,4.0985727,8.661694246898937e-102,4.2118224814172516e-100
291,GXYLT2,22.861544,2.226412,2.6431415042344197e-103,1.3150702184873062e-101
292,ATP2A2,22.820309,1.7008991,3.89807280863053e-104,1.962212988457115e-102
293,ENO1,22.813507,2.7709239,3.2196799646401237e-102,1.5799271661726044e-100
294,R3HDM1,22.804916,1.8152841,8.821370759550228e-104,4.409451621626925e-102
295,ZNF292,22.78688,1.2773026,2.085654363285164e-105,1.0777053534045074e-103
296,GNB1,22.740595,1.5175729,5.521276231560794e-104,2.766314194149291e-102
297,H2AFY,22.667118,1.9949566,2.6385773801146127e-102,1.2977443426416918e-100
298,LAMB1,22.65804,1.272983,1.6601584782707045e-104,8.476294859056425e-103
299,HIVEP3,22.622051,2.1735418,1.9179385097056652e-101,9.28403462801993e-100
300,PTK2,22.606417,1.0749124,8.020368346249993e-105,4.1047441245103783e-103
301,CTSC,22.574858,3.392576,7.761164018722275e-100,3.6820885225106294e-98
302,NUMB,22.53222,1.387097,1.0751744392798686e-102,5.312451768644586e-101
303,USP34,22.52519,1.0553566,1.8251161715364227e-104,9.274358100101196e-103
304,SETD5,22.51473,1.207481,1.9685274139129506e-103,9.817000433476583e-102
305,MYO1B,22.506927,2.278805,1.825798819113496e-100,8.700539972682178e-99
306,PLEKHG1,22.484324,1.7529999,3.956508728823135e-101,1.902317784324738e-99
307,MCTP2,22.41172,1.890911,4.39530216104776e-100,2.0898638479270103e-98
308,ACTA2,22.409502,2.2094872,2.0365491652956787e-99,9.640565187770538e-98
309,FNDC1,22.336452,4.097888,1.0872672146619158e-97,4.981914134873958e-96
310,PHF21A,22.318752,1.3002926,3.0786317758986164e-101,1.4835546023004478e-99
311,LMO4,22.30933,2.1737058,4.0467057313605174e-99,1.9071990704020867e-97
312,NEK6,22.282415,2.5695822,2.141035471121459e-98,9.937741264659862e-97
313,KTN1,22.254726,1.3708249,1.4650177254983964e-100,7.01246430928295e-99
314,XKR6,22.253132,2.6745481,6.224355465760328e-98,2.8581387282176544e-96
315,RARRES1,22.252779,2.9406497,1.3977922116881994e-97,6.3910994003074085e-96
316,CSMD2,22.243277,3.5391552,3.487296215559175e-97,1.577670465114999e-95
317,SUSD6,22.241137,1.9942998,9.956924946013222e-99,4.6517712100720596e-97
318,CSNK1A1,22.231203,1.215788,5.739187538724225e-101,2.753269297100722e-99
319,CANX,22.223877,2.2990932,3.52119929728202e-98,1.6273404683386991e-96
320,SLC6A6,22.210186,3.7442443,7.362243822149283e-97,3.309768480548621e-95
321,NLK,22.201296,1.8373803,7.70805502167607e-99,3.6248142957197727e-97
322,PARP8,22.199461,1.6668526,3.269511580378375e-99,1.5443041041769574e-97
323,MCU,22.14733,1.6687311,1.1457544698380664e-98,5.341208445914673e-97
324,CHSY3,22.140034,1.8777267,2.966486146049503e-98,1.3739379895439641e-96
325,DOCK5,22.132248,1.9144075,4.1077158468481525e-98,1.8902544768199954e-96
326,DGKI,22.129007,3.4095492,2.131774547512096e-96,9.444994503481276e-95
327,FHL2,22.07446,2.4200883,7.448867738512299e-97,3.341705434825476e-95
328,LRP1,22.064312,1.4184662,8.447909723803399e-99,3.9553924916427964e-97
