,0
LRP12,0.00023250000781325
GATA6-AS1,0.0002324732992501961
DNMT3A,0.0002322847513474183
ZC3H12C,0.00023196177840892722
LPAR6,0.00023183998857985
GPR85,0.00023120360050349998
TMEM135,0.00023039454479285002
FAM168A,0.00023029923766315
STAC,0.00023010256270585
SLC26A1,0.0002300934272104532
BNIP3,0.00022995423620345
CHST2,0.0002299182302041
GPR155,0.00022990620466239997
SESN1,0.0002297225312061
ZDBF2,0.00022948993290750001
RNF150,0.00022943128103642112
VSTM4,0.00022895829611058757
WDR7,0.00022854348661905
FLVCR1,0.00022843023076107025
NOX4,0.0002282993534805826
ULK2,0.00022791961191145
NLGN4Y,0.00022580925412399525
MERTK,0.0002251025291551
RFTN1,0.00022507213217276065
CLIC6,0.0002250399716612
LRRC8C,0.00022499287743374467
JAZF1,0.0002246800806482
NFATC3,0.0002243880414017
ZNF285,0.0002243207933025
DSE,0.00022429725450755
ANKRD50,0.00022401937443839468
HS3ST5,0.00022365252598694998
NCKAP1L,0.00022293407887682306
NLK,0.00022272418289325001
PRR16,0.00022271853665253803
HMBOX1,0.0002225988412549
SLCO2A1,0.00022254188318650002
DNAH6,0.0002225359187905359
CDYL2,0.00022227276137685
STK32B,0.00022111085597287765
MKLN1,0.00022095663841244998
IQSEC1,0.00022093015133315
ARHGAP31,0.00022055207603753632
MCEE,0.00021970911522269999
CAND2,0.0002194300780122
WNK2,0.00021898891699685002
IGLC1,0.00021894375914636923
TCEA3,0.0002188359345698611
MEIS2,0.0002186333044898
APBB2,0.0002185016309123
TGFBR3,0.0002181298303817105
FAM155A,0.00021786543517791866
LAMB1,0.00021779619783985
WDFY4,0.00021746874927935
PRKACB,0.0002172454536147
ANK3,0.0002166261154219
TNFAIP2,0.00021659663284550663
IFNG-AS1,0.00021638355553415002
HIPK2,0.0002163490076769
SLC66A1L,0.00021609046580514999
PRH1,0.00021582919943475
VIM-AS1,0.00021580795882255
IMMP2L,0.00021573825991666863
PARVG,0.00021562569814475
SGCE,0.0002154359018073
XKR6,0.0002148822326334
MITF,0.0002146595281055
LRRN1,0.00021463362855388037
SORBS1,0.00021434972576155
PCAT1,0.0002142791460132
AP001636.3,0.00021426951214272458
AFF3,0.00021421351190525
CIITA,0.00021397740438475
CA3,0.00021373612862633494
THBS1,0.000213502597708219
CEP170,0.0002133054876203
FAS,0.00021329886107535
MAP3K7CL,0.00021317911544945
ATM,0.0002127189717513
NCF2,0.0002125978574952606
CNNM2,0.0002123901831576
VCAN,0.00021201313420195
AP001037.1,0.0002119262421302982
ANKRD6,0.0002118000674246
SPAAR,0.00021167593167980002
GABRR2,0.00021041541841173314
CLEC1A,0.00021016145095140425
FOXP2,0.00020977182863609998
CHROMR,0.0002096097557652
CREB3L2,0.00020950367037705
SPATA18,0.0002090431872217
DHRSX,0.0002088741804006579
KLHL5,0.0002087392588681
LCP2,0.0002084800186034
CYTIP,0.0002081489504507
PBX1,0.00020810489695065
HUNK,0.0002080322387438
RAB11FIP3,0.0002079659077605
CHRD,0.00020791736787427467
HTR1E,0.00020772282016584998
NHSL2,0.00020745447874420927
ATP8A1,0.0002067197029142
COX10-AS1,0.0002066365925946
CHODL,0.00020660346150445
RFX7,0.00020632057190165916
ANO2,0.00020617400237793172
ZNF254,0.00020601623538475
TWIST2,0.00020580170853628298
CNOT6L,0.00020568497737151687
TRPV2,0.0002055988673266
DENND4A,0.0002049009468378
LRRC17,0.00020463602719685
HIF1A,0.00020456124310326698
ZFP82,0.00020447694874175
FNDC1,0.0002044174401182
ZNF559,0.00020438721075364999
RDX,0.0002042247107778
UPRT,0.0002038021354002576
IKZF1,0.00020351164168765
PLPP1,0.00020336447528253963
PDE9A,0.0002032776905086
NFASC,0.0002028941228860092
CADM1,0.00020275139072229998
ADAMTSL3,0.00020274320417065
ARMCX4,0.00020227839003603997
FIGNL2,0.00020192894738433565
SH3RF3,0.00020164080052225
PRDM5,0.00020104835205575
PPP3CC,0.0002007976445239
MAML3,0.00020078641105245
WNT5B,0.00020072792750959999
EIF1B-AS1,0.00020068288726335002
STAU2,0.00020061659147430002
PJVK,0.00020043204784035
MIR181A1HG,0.00020034895121155
ST5,0.00020033305596769383
NAV3,0.00019997784730292043
TBX2-AS1,0.00019996647768242616
ZNF528-AS1,0.0001995166175378
ATP8B4,0.0001994241578599
SIRPB2,0.00019876918969378353
SMYD3,0.00019875962611105
PARM1,0.00019851215145895
STX18-AS1,0.0001984210731105
SRSF12,0.00019831180795675
MS4A4A,0.0001982655597708
TNXB,0.00019813678072655
ARSB,0.00019779975209205
PDE3B,0.00019767672484400002
NAV1,0.00019734380422068828
TBC1D5,0.0001973431335563161
TSPAN12,0.00019731341681678873
ITGA4,0.000197214255596435
SULF1,0.00019716722553692073
RGS7,0.00019715301565205
PYGO1,0.00019701557693955
FAT4,0.0001968367347159
TMTC1,0.00019653132224495
IVNS1ABP,0.00019652782701585
CCDC91,0.00019608198504494998
PHYHIPL,0.00019598050507010754
TSHZ3,0.00019589791488192404
CCN4,0.00019582385207625
TMC3-AS1,0.00019536342136299999
TMEM88,0.000195333429334
CCNH,0.00019522738585485
IL7R,0.00019470079661345
